HAGRID,Kingdom,Phylum,Class,Order,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Adult weight (g),Maximum longevity (yrs),Specimen origin,Sample size,Data quality,Temperature (K)
2343,Animalia,Chordata,Mammalia,Chiroptera,Pallas's long-tongued bat,,,106,1,2,,,10,11,captivity,large,acceptable,308.65
2424,Animalia,Chordata,Mammalia,Chiroptera,Nathusius's pipistrelle,91,91,,2,1,,,10,11,wild,medium,acceptable,
1159,Animalia,Chordata,Aves,Passeriformes,Yellow warbler,365,365,12,3,1,,1.32,9.8,11,wild,medium,acceptable,
983,Animalia,Chordata,Aves,Passeriformes,Splendid fairywren,,,,,,,,9.3125,11,wild,large,acceptable,
979,Animalia,Chordata,Aves,Passeriformes,Variegated fairywren,,,,,,,,8.15,11,wild,large,acceptable,
381,Animalia,Chordata,Aves,Apodiformes,Magnificent hummingbird,365,365,14,2,,,,8.1,11,wild,medium,acceptable,
2081,Animalia,Chordata,Mammalia,Carnivora,Argentinian gray fox,,,56,4.2,,,,3990,10.9,captivity,small,acceptable,
650,Animalia,Chordata,Aves,Falconiformes,Lesser kestrel,365,365,,,,,,152.5,10.9,wild,medium,acceptable,
433,Animalia,Chordata,Aves,Charadriiformes,Killdeer,365,365,24,4,,,9.85,88,10.9,wild,small,acceptable,
1412,Animalia,Chordata,Aves,Piciformes,Syrian woodpecker,,,,,,,,76.8,10.9,wild,medium,acceptable,
68,Animalia,Chordata,Amphibia,Anura,African tigrine frog,,,,,,,,48.1,10.9,captivity,small,acceptable,
1054,Animalia,Chordata,Aves,Passeriformes,Rock pipit,365,365,,,,,,22.4,10.9,wild,medium,acceptable,
1068,Animalia,Chordata,Aves,Passeriformes,Common nightingale,365,365,,,,,,19.7,10.9,wild,medium,acceptable,
1213,Animalia,Chordata,Aves,Passeriformes,Flame robin,,,,,,,,13,10.9,wild,medium,acceptable,
1339,Animalia,Chordata,Aves,Passeriformes,White-eyed vireo,365,365,13,4,1,,1.73,12,10.9,wild,small,acceptable,
1114,Animalia,Chordata,Aves,Passeriformes,Carolina chickadee,365,365,13,6,1,,,10.25,10.9,wild,medium,acceptable,
3533,Animalia,Chordata,Reptilia,Squamata,Fan-footed gecko,,,,,,,,9.3,10.9,captivity,small,acceptable,
3668,Animalia,Chordata,Reptilia,Squamata,Desert night lizard,,,,,,,,1.475,10.9,captivity,small,acceptable,
2868,Animalia,Chordata,Mammalia,Rodentia,Plains viscacha,258,456,154,2,1.8,,200,6000,10.8,captivity,medium,acceptable,309.95
3393,Animalia,Chordata,Reptilia,Squamata,Eastern blackneck garter snake,,,,,,,,441,10.8,captivity,tiny,acceptable,
406,Animalia,Chordata,Aves,Charadriiformes,Crested auklet,1095,1095,34,1,1,,,289,10.8,wild,medium,acceptable,
3108,Animalia,Chordata,Mammalia,Rodentia,Coruro,,,80,2.4,1.8,,8.9,98,10.8,captivity,small,acceptable,309.65
1041,Animalia,Chordata,Aves,Passeriformes,Curve-billed thrasher,365,365,13,3,2,,5.5,80.65,10.8,wild,small,acceptable,
3525,Animalia,Chordata,Reptilia,Squamata,Northern curly-tailed lizard,,,,,,,,30,10.8,captivity,small,acceptable,
1292,Animalia,Chordata,Aves,Passeriformes,Hermit thrush,365,365,12,4,,,4.12,27.8,10.8,wild,medium,acceptable,
1194,Animalia,Chordata,Aves,Passeriformes,American tree sparrow,365,365,12,4,1,,1.6,16.6,10.8,wild,large,acceptable,
788,Animalia,Chordata,Aves,Passeriformes,Blue bunting,,,,,,,,15.7,10.8,wild,medium,acceptable,
3470,Animalia,Chordata,Reptilia,Squamata,Namib sand gecko,,,,,,,,13.21,10.8,captivity,small,acceptable,
764,Animalia,Chordata,Aves,Passeriformes,Icterine warbler,365,365,,,,,,13.2,10.8,wild,medium,acceptable,
2598,Animalia,Chordata,Mammalia,Lagomorpha,European hare,236,,42,2,3.8,,119.67,4175,10.7,captivity,small,acceptable,311.45
3071,Animalia,Chordata,Mammalia,Rodentia,Northern Luzon slender-tailed cloud rat,,,,,,,,1744,10.7,captivity,medium,acceptable,
3585,Animalia,Chordata,Reptilia,Squamata,Dumeril monitor,,,,,,,,988,10.7,captivity,small,acceptable,
986,Animalia,Chordata,Aves,Passeriformes,Western spinebill,,,,,,,,9.75,10.7,wild,large,acceptable,
1164,Animalia,Chordata,Aves,Passeriformes,Townsend's warbler,365,,12,4,1,,,8.85,10.7,wild,medium,acceptable,
3398,Animalia,Chordata,Reptilia,Squamata,Eastern ribbonsnake,730,730,,14,,,,407,10.6,captivity,small,acceptable,
3112,Animalia,Chordata,Mammalia,Rodentia,Harris's antelope squirrel,319,,30,6.8,1,,3.8,126,10.6,captivity,medium,acceptable,
1027,Animalia,Chordata,Aves,Passeriformes,Little friarbird,,,,,,,,62.25,10.6,wild,small,acceptable,
803,Animalia,Chordata,Aves,Passeriformes,White-throated dipper,365,365,,,,,,61.7,10.6,wild,large,acceptable,
861,Animalia,Chordata,Aves,Passeriformes,Corn bunting,365,365,,,,,,48.8,10.6,wild,medium,acceptable,
763,Animalia,Chordata,Aves,Passeriformes,"Clamorous reed warbler, or Indian great reed warbler",,,,,,,,24.2,10.6,wild,medium,acceptable,
745,Animalia,Chordata,Aves,Passeriformes,Dusky gerygone,,,,,,,,7.85,10.6,wild,medium,acceptable,
1143,Animalia,Chordata,Aves,Passeriformes,Adelaide's warbler,,,,,,,,7,10.6,wild,medium,acceptable,
2166,Animalia,Chordata,Mammalia,Carnivora,Eastern spotted skunk,152,152,31,5,1.5,243,9.5,600,10.5,captivity,small,acceptable,309.55
2905,Animalia,Chordata,Mammalia,Rodentia,Desert woodrat,76,76,33,3,3,60,8.45,236,10.5,captivity,small,acceptable,309.95
1577,Animalia,Chordata,Aves,Psittaciformes,Mexican parrotlet,,,,,,,,33.5,10.5,captivity,small,acceptable,
1196,Animalia,Chordata,Aves,Passeriformes,Golden-crowned sparrow,365,365,12,4,1.5,,3.1,31.55,10.5,wild,large,acceptable,
1299,Animalia,Chordata,Aves,Passeriformes,Eastern bluebird,306,321,14,4,2,,2.4,30.5,10.5,wild,medium,acceptable,
1579,Animalia,Chordata,Aves,Psittaciformes,Yellow-faced parrotlet,,,,,,,,27.05,10.5,captivity,small,acceptable,
1008,Animalia,Chordata,Aves,Passeriformes,Singing honeyeater,,,,,,,,23.4,10.5,wild,large,acceptable,
1017,Animalia,Chordata,Aves,Passeriformes,White-throated honeyeater,,,,,,,,10.9,10.5,wild,medium,acceptable,
977,Animalia,Chordata,Aves,Passeriformes,Superb fairywren,365,365,,,,,,10.4,10.5,wild,large,acceptable,
3473,Animalia,Chordata,Reptilia,Squamata,Oceanic dtella,,,,,,,,7.9,10.5,captivity,small,acceptable,
3330,Animalia,Chordata,Reptilia,Squamata,Scarlet snake,,,,,,,,219,10.4,captivity,small,acceptable,
1239,Animalia,Chordata,Aves,Passeriformes,Spotted catbird,,,,,,,,202,10.4,wild,small,acceptable,
3122,Animalia,Chordata,Mammalia,Rodentia,Golden-mantled ground squirrel,637,,30,5.12,0.94,,6.26,157.6,10.4,captivity,small,acceptable,309.45
627,Animalia,Chordata,Aves,Coraciiformes,Russet-crowned motmot,,,,,,,,75.7,10.4,captivity,tiny,acceptable,
1576,Animalia,Chordata,Aves,Psittaciformes,Pacific parrotlet,,,,,,,,26.2,10.4,captivity,medium,acceptable,
2346,Animalia,Chordata,Mammalia,Chiroptera,Waterhouse's leaf-nosed bat,91,,244,1,,,0.59,16,10.4,wild,medium,acceptable,
3192,Animalia,Chordata,Mammalia,Rodentia,Striped ground squirrel,365,365,71,3.5,,,,600,10.3,captivity,small,acceptable,
1536,Animalia,Chordata,Aves,Psittaciformes,Canary-winged parakeet,730,730,25,5,1,,,71.6,10.3,captivity,small,acceptable,
2511,Animalia,Chordata,Mammalia,Diprotodontia,Eastern pygmy possum,190,190,,4,2,95,0.0198,40,10.3,captivity,small,acceptable,308.75
1184,Animalia,Chordata,Aves,Passeriformes,Fox sparrow,364,365,13,4,1,,2.7,35.5,10.3,wild,medium,acceptable,
1331,Animalia,Chordata,Aves,Passeriformes,Eastern phoebe,363,,16,5,2,,1.65,19.7,10.3,unknown,medium,acceptable,
1193,Animalia,Chordata,Aves,Passeriformes,Field sparrow,365,365,12,4,,,,12.5,10.3,wild,medium,acceptable,
1151,Animalia,Chordata,Aves,Passeriformes,Prairie warbler,364,,12,4,1.5,,1.1,7,10.3,wild,medium,acceptable,
1769,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Atlantic sharpnose shark,948,803,,4.4,,365,,3987.5,10.2,wild,medium,acceptable,
2163,Animalia,Chordata,Mammalia,Carnivora,"American hog-nosed skunk, or Hog-nosed skunk",319,319,56,3.4,1.5,182,,1900,10.2,captivity,tiny,acceptable,
2172,Animalia,Chordata,Mammalia,Carnivora,Lesser grison,,,,,,,,1000,10.2,captivity,small,acceptable,
1295,Animalia,Chordata,Aves,Passeriformes,Wood thrush,365,365,13,3,2,,4.2,43.3,10.2,wild,medium,acceptable,
781,Animalia,Chordata,Aves,Passeriformes,Snow bunting,365,365,12,5,1,,3,41.8,10.2,wild,large,acceptable,
790,Animalia,Chordata,Aves,Passeriformes,Blue grosbeak,365,365,11,4,1.5,,,28.4,10.2,wild,tiny,acceptable,
1342,Animalia,Chordata,Aves,Passeriformes,Red-eyed vireo,365,365,12,3.5,1,,1.65,17,10.2,wild,small,acceptable,
1073,Animalia,Chordata,Aves,Passeriformes,Black redstart,365,365,,,,,,16.5,10.2,wild,medium,acceptable,
1074,Animalia,Chordata,Aves,Passeriformes,Common redstart,365,365,,,,,,14.6,10.2,wild,medium,acceptable,
1160,Animalia,Chordata,Aves,Passeriformes,Pine warbler,365,365,13,4,1,,,11.8,10.2,unknown,medium,acceptable,
1221,Animalia,Chordata,Aves,Passeriformes,Wood warbler,365,365,,,,,,9.2,10.2,wild,medium,acceptable,
1134,Animalia,Chordata,Aves,Passeriformes,Nashville warbler,365,365,11,4,1,,1.25,7.5,10.2,wild,small,acceptable,
2540,Animalia,Chordata,Mammalia,Diprotodontia,"Short-eared rock-wallaby, or Western rock wallaby",540,590,30,1,,,,3700,10.1,captivity,small,acceptable,
2574,Animalia,Chordata,Mammalia,Diprotodontia,"Common ringtail, or Ring-tailed possum",365,365,,2,1.5,200,0.3,850,10.1,captivity,medium,acceptable,310.55
2356,Animalia,Chordata,Mammalia,Chiroptera,Wahlberg's epauletted fruit bat,244,,165,1,2,,,80,10.1,captivity,tiny,acceptable,
2351,Animalia,Chordata,Mammalia,Chiroptera,Lesser short-nosed fruit bat,213,213,112,1,2,,6.2,45,10.1,captivity,medium,acceptable,309.65
769,Animalia,Chordata,Aves,Passeriformes,Eurasian skylark,365,365,11,3,1,,,37.5,10.1,wild,medium,acceptable,
1586,Animalia,Chordata,Aves,Psittaciformes,Vernal hanging parrot,,,,,,,,35.7,10.1,captivity,small,acceptable,
1585,Animalia,Chordata,Aves,Psittaciformes,Colasisi,,,,,,,,34.9,10.1,captivity,tiny,acceptable,
754,Animalia,Chordata,Aves,Passeriformes,Great reed-warbler,365,365,,,,,,30,10.1,wild,medium,acceptable,
1291,Animalia,Chordata,Aves,Passeriformes,Veery,365,365,11,4,,,,28.8,10.1,wild,small,acceptable,
961,Animalia,Chordata,Aves,Passeriformes,Red-backed shrike,365,365,,,,,,28.4,10.1,wild,medium,acceptable,
1072,Animalia,Chordata,Aves,Passeriformes,Northern wheatear,365,365,14,,,,2.8,25,10.1,unknown,medium,acceptable,
2344,Animalia,Chordata,Mammalia,Chiroptera,Southern long-nosed bat,,,122,1,1,,,25,10.1,wild,medium,acceptable,
935,Animalia,Chordata,Aves,Passeriformes,Bank swallow,365,365,15,4,,,1.6,12.7,10.1,wild,large,acceptable,
1116,Animalia,Chordata,Aves,Passeriformes,Mountain chickadee,365,365,14,7,1.5,,1,11.5,10.1,wild,small,acceptable,
1121,Animalia,Chordata,Aves,Passeriformes,Mexican chickadee,365,365,,6,1,,,11,10.1,wild,tiny,acceptable,
1161,Animalia,Chordata,Aves,Passeriformes,American redstart,365,365,12,4,1,,,8.5,10.1,wild,medium,acceptable,
3903,Animalia,Chordata,Teleostei,Cypriniformes,Rohu,1073,985,,,,,,24750,10,wild,medium,acceptable,
4461,Animalia,Chordata,Teleostei,Salmoniformes,Cutthroat trout,1095,1095,,,,,,10230,10,wild,medium,acceptable,
4351,Animalia,Chordata,Teleostei,Perciformes,"Kawakawa, or Little tunny",,,,,,,,7700,10,wild,medium,acceptable,
3883,Animalia,Chordata,Teleostei,Cypriniformes,Silver redhorse,,,,,,,,5940,10,wild,medium,acceptable,
2162,Animalia,Chordata,Mammalia,Carnivora,Molina's hog-nosed skunk,,,,,,,,3400,10,captivity,small,acceptable,
4168,Animalia,Chordata,Teleostei,Perciformes,Atun,1003,1003,,,,,,3300,10,wild,medium,acceptable,
1785,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Starspotted smooth-hound,1085,772,,7.5,,365,,3146,10,wild,medium,acceptable,
3860,Animalia,Chordata,Teleostei,Cypriniformes,River carpsucker,,,,,,,,2524.5,10,wild,medium,acceptable,
3827,Animalia,Chordata,Teleostei,Clupeiformes,Alice shad,1642,1277,,,,,,2200,10,wild,medium,acceptable,
4565,Animalia,Chordata,Teleostei,Siluriformes,Black bullhead,730,730,7,3150,,,,1995.5,10,wild,medium,acceptable,
4233,Animalia,Chordata,Teleostei,Perciformes,Lane snapper,730,365,,,,,,1941.5,10,wild,medium,acceptable,
4239,Animalia,Chordata,Teleostei,Perciformes,Vermilion snapper,1095,1095,,,,,,1743.5,10,wild,medium,acceptable,
4068,Animalia,Chordata,Teleostei,Mugiliformes,Thinlip mullet,1277,1277,,,,,,1595,10,wild,medium,acceptable,
3334,Animalia,Chordata,Reptilia,Squamata,"Eastern racer, or Northern black racer",,411,,,,,,1594.5,10,unknown,medium,acceptable,
4130,Animalia,Chordata,Teleostei,Perciformes,White crappie,,,,,,,,1292.5,10,wild,medium,acceptable,
3886,Animalia,Chordata,Teleostei,Cypriniformes,Black redhorse,1095,1095,,,,,,1250,10,wild,medium,acceptable,
4122,Animalia,Chordata,Teleostei,Perciformes,Bluegill,,,,,,,,1181.25,10,wild,medium,acceptable,
351,Animalia,Chordata,Aves,Anseriformes,Smew,727,,,,,,,610,10,wild,medium,acceptable,
4249,Animalia,Chordata,Teleostei,Perciformes,Red mullet,730,730,,,,,,550,10,wild,medium,acceptable,
4446,Animalia,Chordata,Teleostei,Salmoniformes,Vendace,730,730,,,,,,550,10,wild,medium,acceptable,
4090,Animalia,Chordata,Teleostei,Osteoglossiformes,Mooneye,,,,,,,,498.85,10,wild,medium,acceptable,
4163,Animalia,Chordata,Teleostei,Perciformes,Black perch,,,,,,,,385,10,wild,medium,acceptable,
3811,Animalia,Chordata,Teleostei,Beloniformes,Dusky sea garfish,912,912,,,,,,330,10,wild,medium,acceptable,
3830,Animalia,Chordata,Teleostei,Clupeiformes,Macedonia shad,,,,,,,,330,10,wild,medium,acceptable,
4406,Animalia,Chordata,Teleostei,Perciformes,Viviporous blenny,,,,,,,,280.5,10,wild,medium,acceptable,
4455,Animalia,Chordata,Teleostei,Salmoniformes,Irish pollan,1277,1277,,,,,,247.5,10,wild,medium,acceptable,
410,Animalia,Chordata,Aves,Charadriiformes,Marbled murrelet,730,730,,,,,,222,10,wild,medium,acceptable,
3129,Animalia,Chordata,Mammalia,Rodentia,Thomas's rope squirrel,,,,1.5,,,,218,10,captivity,small,acceptable,
429,Animalia,Chordata,Aves,Charadriiformes,Mountain plover,365,365,,6,,,,100,10,wild,medium,acceptable,
959,Animalia,Chordata,Aves,Passeriformes,Western meadowlark,365,365,14,3,2,,7,85,10,captivity,tiny,acceptable,
1738,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,European river lamprey,2250,2250,,,,,,82.5,10,wild,medium,acceptable,
398,Animalia,Chordata,Aves,Caprimulgiformes,Common nighthawk,,,19,2,1,,5.95,79.3,10,wild,small,acceptable,
1418,Animalia,Chordata,Aves,Piciformes,Red-headed woodpecker,365,365,14,5,2,,,75,10,unknown,medium,acceptable,
2352,Animalia,Chordata,Mammalia,Chiroptera,Greater short-nosed fruit bat,150,525,120,1.2,2,,11,75,10,captivity,small,acceptable,
3176,Animalia,Chordata,Mammalia,Rodentia,Slender squirrel,,,,3,,,,75,10,captivity,small,acceptable,
550,Animalia,Chordata,Aves,Charadriiformes,Wilson's phalarope,,,23,4,,,,57,10,wild,medium,acceptable,
925,Animalia,Chordata,Aves,Passeriformes,Black-billed treehunter,,,,,,,,44.3,10,wild,tiny,acceptable,
3179,Animalia,Chordata,Mammalia,Rodentia,Least chipmunk,365,365,30,4.9,1,365,2.3,44.1,10,captivity,small,acceptable,310.15
1415,Animalia,Chordata,Aves,Piciformes,Eurasian wryneck,365,365,,,,,,35,10,wild,medium,acceptable,
367,Animalia,Chordata,Aves,Apodiformes,White-throated swift,,,24,4,1,,,31,10,wild,medium,acceptable,
1279,Animalia,Chordata,Aves,Passeriformes,Gray-headed tanager,,,,,,,,27,10,wild,small,acceptable,
2413,Animalia,Chordata,Mammalia,Chiroptera,Fish-eating bat,,,,1,,,2.82,25,10,unknown,medium,acceptable,309.15
3515,Animalia,Chordata,Reptilia,Squamata,European green lizard,,,,,,,,21.5,10,unknown,medium,acceptable,293.83
1019,Animalia,Chordata,Aves,Passeriformes,Black-chinned honeyeater,,,,,,,,19.5,10,wild,small,acceptable,
45,Animalia,Chordata,Amphibia,Anura,Southern toad,,,3,3250,,,,19.267,10,captivity,medium,acceptable,288
2357,Animalia,Chordata,Mammalia,Chiroptera,Philippine pygmy fruit bat,120,315,90,1,1,,2.74,18,10,unknown,medium,acceptable,
1228,Animalia,Chordata,Aves,Passeriformes,Red-billed quelea,730,730,,,,,,17.5,10,wild,large,acceptable,
855,Animalia,Chordata,Aves,Passeriformes,Saltmarsh sharp-tailed sparrow,365,365,11,4,,,1.63,16.5,10,wild,medium,acceptable,
2337,Animalia,Chordata,Mammalia,Chiroptera,Geoffroy's tailless bat,,,120,1,1,,5.1,15.2,10,captivity,small,acceptable,
871,Animalia,Chordata,Aves,Passeriformes,White-rumped munia,,,,,,,,12.3,10,unknown,medium,acceptable,
1150,Animalia,Chordata,Aves,Passeriformes,Yellow-rumped (myrtle) warbler,363,,12,4,1,,,12,10,wild,medium,acceptable,
908,Animalia,Chordata,Aves,Passeriformes,Akepa,365,730,15,1.5,1,,,10.4,10,wild,medium,acceptable,
1145,Animalia,Chordata,Aves,Passeriformes,Black-throated blue warbler,365,365,13,4,2,,,10.2,10,wild,small,acceptable,
978,Animalia,Chordata,Aves,Passeriformes,Red-winged fairywren,,,,,,,,9.75,10,wild,medium,acceptable,
1024,Animalia,Chordata,Aves,Passeriformes,Scarlet myzomela,,,,,,,,8.1,10,wild,medium,acceptable,
3517,Animalia,Chordata,Reptilia,Squamata,Common wall lizard,,,,,,,,5.41,10,unknown,medium,acceptable,
3483,Animalia,Chordata,Reptilia,Squamata,Striped day gecko,,,,,,,,3.8,10,captivity,small,acceptable,
2083,Animalia,Chordata,Mammalia,Carnivora,Sechuran fox,,,,,,,,4000,9.9,captivity,tiny,acceptable,
3272,Animalia,Chordata,Reptilia,Squamata,Frilled lizard,,,,,,,,449.125,9.9,captivity,medium,acceptable,
3309,Animalia,Chordata,Reptilia,Squamata,New Guinea boa,,,,,,,,384,9.9,captivity,small,acceptable,
3279,Animalia,Chordata,Reptilia,Squamata,Eastern bearded dragon,,,,,,,,244.06,9.9,captivity,medium,acceptable,
2995,Animalia,Chordata,Mammalia,Rodentia,Ord's kangaroo rat,61,,29,3,2,143,5,57,9.9,captivity,small,acceptable,307.75
1031,Animalia,Chordata,Aves,Passeriformes,Crescent honeyeater,,,,,,,,15.525,9.9,wild,large,acceptable,
789,Animalia,Chordata,Aves,Passeriformes,Lazuli bunting,365,365,12,4,1,,1.3,15.15,9.9,wild,small,acceptable,
1136,Animalia,Chordata,Aves,Passeriformes,Swainson's warbler,365,365,14,3,1,,,13.5,9.9,wild,large,acceptable,
2604,Animalia,Chordata,Mammalia,Lagomorpha,Eastern cottontail,123,,30,5,3.9,30,40,1150,9.8,captivity,small,acceptable,
3144,Animalia,Chordata,Mammalia,Rodentia,Rock squirrel,421,,30,4.3,1.5,,7.8,663,9.8,captivity,small,acceptable,
3186,Animalia,Chordata,Mammalia,Rodentia,Red squirrel,342,,37,4.2,1.7,,7,200,9.8,captivity,tiny,acceptable,311.85
991,Animalia,Chordata,Aves,Passeriformes,Yellow wattlebird,,,,,,,,145.9,9.8,wild,small,acceptable,
1028,Animalia,Chordata,Aves,Passeriformes,Noisy friarbird,,,,,,,,103.375,9.8,wild,medium,acceptable,
913,Animalia,Chordata,Aves,Passeriformes,Pine grosbeak,365,365,13,4,,,,65.3,9.8,wild,small,acceptable,
3288,Animalia,Chordata,Reptilia,Squamata,Southern alligator lizard,,,,,,,,31.5,9.8,captivity,small,acceptable,295.5
1255,Animalia,Chordata,Aves,Passeriformes,White-breasted nuthatch,365,365,12,8,1,,,20.5,9.8,wild,medium,acceptable,
1411,Animalia,Chordata,Aves,Piciformes,Lesser spotted woodpecker,365,365,,,,,,19.8,9.8,wild,medium,acceptable,
969,Animalia,Chordata,Aves,Passeriformes,Savi's warbler,365,365,,,,,,13.9,9.8,wild,medium,acceptable,
1065,Animalia,Chordata,Aves,Passeriformes,Collared flycatcher,365,365,,,,,,12.7,9.8,wild,medium,acceptable,
1343,Animalia,Chordata,Aves,Passeriformes,Philadelphia vireo,363,,14,4,1,,,12,9.8,wild,medium,acceptable,
759,Animalia,Chordata,Aves,Passeriformes,Marsh warbler,365,365,,,,,,11.5,9.8,wild,medium,acceptable,
993,Animalia,Chordata,Aves,Passeriformes,Rufous-throated honeyeater,,,,,,,,10.8,9.8,wild,medium,acceptable,
2548,Animalia,Chordata,Mammalia,Diprotodontia,Red-legged pademelon,338,,29,1,,185,,4100,9.7,captivity,small,acceptable,
3662,Animalia,Chordata,Reptilia,Squamata,Lataste's viper,,,,,,,,161,9.7,captivity,small,acceptable,
2993,Animalia,Chordata,Mammalia,Rodentia,Merriam's kangaroo rat,102,,28,2.3,1.6,54,2.92,42,9.7,captivity,medium,acceptable,310.15
1204,Animalia,Chordata,Aves,Passeriformes,Southern scrub robin,,,,,,,,33.95,9.7,wild,small,acceptable,
1098,Animalia,Chordata,Aves,Passeriformes,Grey whistler,,,,,,,,17.5,9.7,wild,small,acceptable,
2428,Animalia,Chordata,Mammalia,Chiroptera,Western broad-nosed bat,,,210,1.5,,,2.4,11.7,9.7,captivity,small,acceptable,
852,Animalia,Chordata,Aves,Passeriformes,Mistletoebird,,,,,,,,8.8,9.7,wild,medium,acceptable,
3326,Animalia,Chordata,Reptilia,Squamata,Dog-tooth cat snake,,,,,,,,8324,9.6,captivity,tiny,acceptable,
3496,Animalia,Chordata,Reptilia,Squamata,Cape spinytail iguana,,,,,,,,2800,9.6,captivity,small,acceptable,
3374,Animalia,Chordata,Reptilia,Squamata,Northern water snake,730,730,122,,,,,1306,9.6,captivity,medium,acceptable,
2635,Animalia,Chordata,Mammalia,Peramelemorphia,"Rabbit-bandicoot, or Bilby",150,,17,2,4,175,,1300,9.6,captivity,medium,acceptable,308.15
2551,Animalia,Chordata,Mammalia,Diprotodontia,Striped possum,,,,1.5,,365,,318,9.6,captivity,small,acceptable,
3485,Animalia,Chordata,Reptilia,Squamata,Standing's day gecko,,,,,,,,214.5,9.6,captivity,medium,acceptable,
668,Animalia,Chordata,Aves,Galliformes,California quail,274,274,22,14,1,,6,138,9.6,unknown,medium,acceptable,
3183,Animalia,Chordata,Mammalia,Rodentia,Siberian chipmunk,350,350,35,4.8,1.1,103,4,85,9.6,captivity,medium,acceptable,
1300,Animalia,Chordata,Aves,Passeriformes,Clay-colored robin,,,12,3,,,,74,9.6,wild,medium,acceptable,
1208,Animalia,Chordata,Aves,Passeriformes,Hooded robin,,,,,,,,21.575,9.6,wild,medium,acceptable,
2384,Animalia,Chordata,Mammalia,Chiroptera,Chocolate wattled bat,,,,1.4,1,,1.68,8.91,9.6,wild,large,acceptable,
350,Animalia,Chordata,Aves,Anseriformes,Surf scoter,730,730,,,,,,1097.5,9.5,wild,tiny,acceptable,
3131,Animalia,Chordata,Mammalia,Rodentia,Fire-footed rope squirrel,,,,1.8,,,,271.7,9.5,captivity,tiny,acceptable,
2902,Animalia,Chordata,Mammalia,Rodentia,White-throated woodrat,84,101,29,2,2,49,11.5,209,9.5,captivity,small,acceptable,309.15
3184,Animalia,Chordata,Mammalia,Rodentia,Eastern chipmunk,187,228,31,5,1.5,,3.4,96,9.5,captivity,small,acceptable,311.35
1039,Animalia,Chordata,Aves,Passeriformes,Bendire's thrasher,,,,3,2,,,62.2,9.5,wild,tiny,acceptable,
1283,Animalia,Chordata,Aves,Passeriformes,Blue-grey tanager,,,13,2,,,,35,9.5,wild,medium,acceptable,
3403,Animalia,Chordata,Reptilia,Squamata,Smooth earth snake,,,,,,,,22,9.5,captivity,small,acceptable,
909,Animalia,Chordata,Aves,Passeriformes,Anianiau,365,365,14,3,1,,1.2,10,9.5,wild,medium,acceptable,
1120,Animalia,Chordata,Aves,Passeriformes,Chestnut-backed chickadee,365,365,13,6.5,1,,,9.8,9.5,wild,small,acceptable,
1112,Animalia,Chordata,Aves,Passeriformes,Coal tit,365,365,,,,,,9.2,9.5,wild,medium,acceptable,
737,Animalia,Chordata,Aves,Passeriformes,Buff-rumped thornbill,,,,,,,,7.7,9.5,wild,medium,acceptable,
2547,Animalia,Chordata,Mammalia,Diprotodontia,Dusky pademelon,344,730,30,1,,,,4796,9.4,captivity,tiny,acceptable,
2197,Animalia,Chordata,Mammalia,Carnivora,Black-footed ferret,365,365,43,3,,365,7.4,1021,9.4,captivity,medium,acceptable,
3606,Animalia,Chordata,Reptilia,Squamata,Rhinoceros viper,,,,,,,,717,9.4,captivity,medium,acceptable,
2609,Animalia,Chordata,Mammalia,Lagomorpha,Northern pika,203,,28,3,,,9.6,120,9.4,captivity,small,acceptable,
1250,Animalia,Chordata,Aves,Passeriformes,Willie wagtail,,,,,,,,27,9.4,wild,medium,acceptable,
2849,Animalia,Chordata,Mammalia,Rodentia,Mouse-like hamster,,,,3.3,1,,,20.4,9.4,captivity,small,acceptable,
903,Animalia,Chordata,Aves,Passeriformes,Eurasian linnet,365,365,,,,,,19.5,9.4,wild,medium,acceptable,
1986,Animalia,Chordata,Mammalia,Artiodactyla,Steenbok,238,243,197,1,,215,920,13000,9.3,captivity,medium,acceptable,312.55
3578,Animalia,Chordata,Reptilia,Squamata,Guyana caiman lizard,,,,,,,,1500,9.3,captivity,small,acceptable,
2607,Animalia,Chordata,Mammalia,Lagomorpha,New England cottontail,120,,28,4.8,2.5,,30,902.6,9.3,captivity,tiny,acceptable,
3431,Animalia,Chordata,Reptilia,Squamata,Common death adder,,,,,,,,384,9.3,captivity,tiny,acceptable,
3506,Animalia,Chordata,Reptilia,Squamata,Northern chuckwalla,913,730,35,,,,,230.39,9.3,captivity,small,acceptable,
3185,Animalia,Chordata,Mammalia,Rodentia,Townsend's chipmunk,353,,28,4.5,1,,3.5,75,9.3,captivity,small,acceptable,
1410,Animalia,Chordata,Aves,Piciformes,Middle spotted woodpecker,365,365,,,,,,59,9.3,wild,medium,acceptable,
2614,Animalia,Chordata,Mammalia,Macroscelidea,"Bushveld elephant shrew, or Long-eared elephant shrew",335,183,52,1.6,,67,10,52,9.3,captivity,small,acceptable,310.35
1563,Animalia,Chordata,Aves,Psittaciformes,Yellow-fronted parakeet,,,,,,,,46,9.3,captivity,medium,acceptable,
